"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","GGNLEND","TOT","PC_GDP","A","1994",-6.9359775345593,
"CAN","GGNLEND","TOT","PC_GDP","A","1995",-5.48964011250317,
"CAN","GGNLEND","TOT","PC_GDP","A","1996",-3.05256596040631,
"CAN","GGNLEND","TOT","PC_GDP","A","1997",0.038702165336532,
"CAN","GGNLEND","TOT","PC_GDP","A","1998",0.142682776423957,
"CAN","GGNLEND","TOT","PC_GDP","A","1999",1.65557624708932,
"CAN","GGNLEND","TOT","PC_GDP","A","2000",2.63970396113812,
"CAN","GGNLEND","TOT","PC_GDP","A","2001",0.529468967089921,
"CAN","GGNLEND","TOT","PC_GDP","A","2002",-0.233895789038062,
"CAN","GGNLEND","TOT","PC_GDP","A","2003",-0.126957864812588,
"CAN","GGNLEND","TOT","PC_GDP","A","2004",0.767669538252837,
"CAN","GGNLEND","TOT","PC_GDP","A","2005",1.55312009791853,
"CAN","GGNLEND","TOT","PC_GDP","A","2006",1.82760436294437,
"CAN","GGNLEND","TOT","PC_GDP","A","2007",1.81965580691923,
"CAN","GGNLEND","TOT","PC_GDP","A","2008",0.184485477426328,
"CAN","GGNLEND","TOT","PC_GDP","A","2009",-3.88135176862462,
"CAN","GGNLEND","TOT","PC_GDP","A","2010",-4.73755858174554,
"CAN","GGNLEND","TOT","PC_GDP","A","2011",-3.30873255346625,
"CAN","GGNLEND","TOT","PC_GDP","A","2012",-2.52451700716013,
"CAN","GGNLEND","TOT","PC_GDP","A","2013",-1.49475856710511,
"CAN","GGNLEND","TOT","PC_GDP","A","2014",0.174896160104426,
"CAN","GGNLEND","TOT","PC_GDP","A","2015",-0.061845591002195,
"CAN","GGNLEND","TOT","PC_GDP","A","2016",-0.453312334765877,
"CAN","GGNLEND","TOT","PC_GDP","A","2017",-0.112162665295115,
"CAN","GGNLEND","TOT","PC_GDP","A","2018",0.351654380127359,
"CAN","GGNLEND","TOT","PC_GDP","A","2019",0.004327670432317,
"CAN","GGNLEND","TOT","PC_GDP","A","2020",-11.3604354611549,
"CAN","GGNLEND","TOT","PC_GDP","A","2021",-4.70737169343434,
"CZE","GGNLEND","TOT","PC_GDP","A","1995",-12.3712496225661,
"CZE","GGNLEND","TOT","PC_GDP","A","1996",-3.00488450216072,
"CZE","GGNLEND","TOT","PC_GDP","A","1997",-3.17489792108062,
"CZE","GGNLEND","TOT","PC_GDP","A","1998",-4.17305010052749,
"CZE","GGNLEND","TOT","PC_GDP","A","1999",-3.12816386097898,
"CZE","GGNLEND","TOT","PC_GDP","A","2000",-3.57563564178522,
"CZE","GGNLEND","TOT","PC_GDP","A","2001",-5.75954800192003,
"CZE","GGNLEND","TOT","PC_GDP","A","2002",-6.3513616962135,
"CZE","GGNLEND","TOT","PC_GDP","A","2003",-6.85802344080934,
"CZE","GGNLEND","TOT","PC_GDP","A","2004",-2.36953865069805,
"CZE","GGNLEND","TOT","PC_GDP","A","2005",-3.02656956824642,
"CZE","GGNLEND","TOT","PC_GDP","A","2006",-2.15014326452803,
"CZE","GGNLEND","TOT","PC_GDP","A","2007",-0.644844855582269,
"CZE","GGNLEND","TOT","PC_GDP","A","2008",-1.96420355886674,
"CZE","GGNLEND","TOT","PC_GDP","A","2009",-5.41134758947177,
"CZE","GGNLEND","TOT","PC_GDP","A","2010",-4.15200094167854,
"CZE","GGNLEND","TOT","PC_GDP","A","2011",-2.70035149839144,
"CZE","GGNLEND","TOT","PC_GDP","A","2012",-3.8971002555203,
"CZE","GGNLEND","TOT","PC_GDP","A","2013",-1.28388671363478,
"CZE","GGNLEND","TOT","PC_GDP","A","2014",-2.07549140933957,
"CZE","GGNLEND","TOT","PC_GDP","A","2015",-0.64381765122764,
"CZE","GGNLEND","TOT","PC_GDP","A","2016",0.711776192532093,
"CZE","GGNLEND","TOT","PC_GDP","A","2017",1.50140595995533,
"CZE","GGNLEND","TOT","PC_GDP","A","2018",0.89269853123992,
"CZE","GGNLEND","TOT","PC_GDP","A","2019",0.288566421223733,
"CZE","GGNLEND","TOT","PC_GDP","A","2020",-5.78141246810236,
"CZE","GGNLEND","TOT","PC_GDP","A","2021",-5.87190995962508,
"DNK","GGNLEND","TOT","PC_GDP","A","1995",-3.62003199102571,
"DNK","GGNLEND","TOT","PC_GDP","A","1996",-2.48257462799153,
"DNK","GGNLEND","TOT","PC_GDP","A","1997",-1.20021352911995,
"DNK","GGNLEND","TOT","PC_GDP","A","1998",-0.388536959676941,
"DNK","GGNLEND","TOT","PC_GDP","A","1999",0.868853784849396,
"DNK","GGNLEND","TOT","PC_GDP","A","2000",1.887315011175,
"DNK","GGNLEND","TOT","PC_GDP","A","2001",1.14055420849418,
"DNK","GGNLEND","TOT","PC_GDP","A","2002",-0.015387113245999,
"DNK","GGNLEND","TOT","PC_GDP","A","2003",-0.133147614335798,
"DNK","GGNLEND","TOT","PC_GDP","A","2004",2.0731728722497,
"DNK","GGNLEND","TOT","PC_GDP","A","2005",4.95503054106776,
"DNK","GGNLEND","TOT","PC_GDP","A","2006",4.98710007232549,
"DNK","GGNLEND","TOT","PC_GDP","A","2007",5.02045812820832,
"DNK","GGNLEND","TOT","PC_GDP","A","2008",3.17390813019585,
"DNK","GGNLEND","TOT","PC_GDP","A","2009",-2.79814242201751,
"DNK","GGNLEND","TOT","PC_GDP","A","2010",-2.71027147514494,
"DNK","GGNLEND","TOT","PC_GDP","A","2011",-2.05576661478475,
"DNK","GGNLEND","TOT","PC_GDP","A","2012",-3.49044439711785,
"DNK","GGNLEND","TOT","PC_GDP","A","2013",-1.2356471875801,
"DNK","GGNLEND","TOT","PC_GDP","A","2014",1.14442765256798,
"DNK","GGNLEND","TOT","PC_GDP","A","2015",-1.32962984181145,
"DNK","GGNLEND","TOT","PC_GDP","A","2016",-0.105986872094072,
"DNK","GGNLEND","TOT","PC_GDP","A","2017",1.78626148968858,
"DNK","GGNLEND","TOT","PC_GDP","A","2018",0.760390380516002,
"DNK","GGNLEND","TOT","PC_GDP","A","2019",4.06390417114572,
"DNK","GGNLEND","TOT","PC_GDP","A","2020",-0.183124600035762,
"DNK","GGNLEND","TOT","PC_GDP","A","2021",2.34995842590297,
"FIN","GGNLEND","TOT","PC_GDP","A","1975",4.93015731004857,"E"
"FIN","GGNLEND","TOT","PC_GDP","A","1976",7.60906348294645,"E"
"FIN","GGNLEND","TOT","PC_GDP","A","1977",6.2547312764633,"E"
"FIN","GGNLEND","TOT","PC_GDP","A","1978",3.82755813975477,"E"
"FIN","GGNLEND","TOT","PC_GDP","A","1979",3.39865283492486,"E"
"FIN","GGNLEND","TOT","PC_GDP","A","1980",3.70205306474136,
"FIN","GGNLEND","TOT","PC_GDP","A","1981",5.10678540468122,
"FIN","GGNLEND","TOT","PC_GDP","A","1982",3.05352428568091,
"FIN","GGNLEND","TOT","PC_GDP","A","1983",1.51826101524543,
"FIN","GGNLEND","TOT","PC_GDP","A","1984",3.22858211747101,
"FIN","GGNLEND","TOT","PC_GDP","A","1985",3.3359086616877,
"FIN","GGNLEND","TOT","PC_GDP","A","1986",3.82817858453097,
"FIN","GGNLEND","TOT","PC_GDP","A","1987",1.62590820485557,
"FIN","GGNLEND","TOT","PC_GDP","A","1988",5.09234518983877,
"FIN","GGNLEND","TOT","PC_GDP","A","1989",6.72945943113947,
"FIN","GGNLEND","TOT","PC_GDP","A","1990",5.31778053848437,
"FIN","GGNLEND","TOT","PC_GDP","A","1991",-0.904498325642412,
"FIN","GGNLEND","TOT","PC_GDP","A","1992",-5.32778184048501,
"FIN","GGNLEND","TOT","PC_GDP","A","1993",-8.08559294348252,
"FIN","GGNLEND","TOT","PC_GDP","A","1994",-6.49593934919393,
"FIN","GGNLEND","TOT","PC_GDP","A","1995",-5.92497133405717,
"FIN","GGNLEND","TOT","PC_GDP","A","1996",-3.24637794735656,
"FIN","GGNLEND","TOT","PC_GDP","A","1997",-1.21472470150803,
"FIN","GGNLEND","TOT","PC_GDP","A","1998",1.63852781513024,
"FIN","GGNLEND","TOT","PC_GDP","A","1999",1.66724447666173,
"FIN","GGNLEND","TOT","PC_GDP","A","2000",6.85346154409932,
"FIN","GGNLEND","TOT","PC_GDP","A","2001",4.97621484083303,
"FIN","GGNLEND","TOT","PC_GDP","A","2002",4.05694812979001,
"FIN","GGNLEND","TOT","PC_GDP","A","2003",2.4237392009173,
"FIN","GGNLEND","TOT","PC_GDP","A","2004",2.20965242696431,
"FIN","GGNLEND","TOT","PC_GDP","A","2005",2.65169685524662,
"FIN","GGNLEND","TOT","PC_GDP","A","2006",3.97115045373835,
"FIN","GGNLEND","TOT","PC_GDP","A","2007",5.10819363667465,
"FIN","GGNLEND","TOT","PC_GDP","A","2008",4.17676884667851,
"FIN","GGNLEND","TOT","PC_GDP","A","2009",-2.48422257313738,
"FIN","GGNLEND","TOT","PC_GDP","A","2010",-2.53371106020421,
"FIN","GGNLEND","TOT","PC_GDP","A","2011",-1.01920221416378,
"FIN","GGNLEND","TOT","PC_GDP","A","2012",-2.15582206260539,
"FIN","GGNLEND","TOT","PC_GDP","A","2013",-2.52494848791852,
"FIN","GGNLEND","TOT","PC_GDP","A","2014",-2.9874768604668,
"FIN","GGNLEND","TOT","PC_GDP","A","2015",-2.42543226813634,
"FIN","GGNLEND","TOT","PC_GDP","A","2016",-1.69825025974862,
"FIN","GGNLEND","TOT","PC_GDP","A","2017",-0.653996226265019,
"FIN","GGNLEND","TOT","PC_GDP","A","2018",-0.853221854815221,
"FIN","GGNLEND","TOT","PC_GDP","A","2019",-0.946000033353902,
"FIN","GGNLEND","TOT","PC_GDP","A","2020",-5.51104014790227,
"FIN","GGNLEND","TOT","PC_GDP","A","2021",-2.58130579518768,
"FRA","GGNLEND","TOT","PC_GDP","A","1978",-1.79682457725571,
"FRA","GGNLEND","TOT","PC_GDP","A","1979",-0.4821576555084,
"FRA","GGNLEND","TOT","PC_GDP","A","1980",-0.428536644752861,
"FRA","GGNLEND","TOT","PC_GDP","A","1981",-2.40752178985656,
"FRA","GGNLEND","TOT","PC_GDP","A","1982",-2.83691332089851,
"FRA","GGNLEND","TOT","PC_GDP","A","1983",-2.54076788744866,
"FRA","GGNLEND","TOT","PC_GDP","A","1984",-2.73595179836782,
"FRA","GGNLEND","TOT","PC_GDP","A","1985",-2.97245967672752,
"FRA","GGNLEND","TOT","PC_GDP","A","1986",-3.1974131962347,
"FRA","GGNLEND","TOT","PC_GDP","A","1987",-2.01429233991797,
"FRA","GGNLEND","TOT","PC_GDP","A","1988",-2.56437692860578,
"FRA","GGNLEND","TOT","PC_GDP","A","1989",-1.7822310431733,
"FRA","GGNLEND","TOT","PC_GDP","A","1990",-2.43397060973133,
"FRA","GGNLEND","TOT","PC_GDP","A","1991",-2.86304450378078,
"FRA","GGNLEND","TOT","PC_GDP","A","1992",-4.60121858595576,
"FRA","GGNLEND","TOT","PC_GDP","A","1993",-6.3587944863889,
"FRA","GGNLEND","TOT","PC_GDP","A","1994",-5.42289936069065,
"FRA","GGNLEND","TOT","PC_GDP","A","1995",-5.10854299487882,
"FRA","GGNLEND","TOT","PC_GDP","A","1996",-3.90587942178419,
"FRA","GGNLEND","TOT","PC_GDP","A","1997",-3.65283417016237,
"FRA","GGNLEND","TOT","PC_GDP","A","1998",-2.37843739459248,
"FRA","GGNLEND","TOT","PC_GDP","A","1999",-1.60292762521601,
"FRA","GGNLEND","TOT","PC_GDP","A","2000",-1.31842268114447,
"FRA","GGNLEND","TOT","PC_GDP","A","2001",-1.37927447666103,
"FRA","GGNLEND","TOT","PC_GDP","A","2002",-3.1602899304648,
"FRA","GGNLEND","TOT","PC_GDP","A","2003",-4.0155372099498,
"FRA","GGNLEND","TOT","PC_GDP","A","2004",-3.59057029293687,
"FRA","GGNLEND","TOT","PC_GDP","A","2005",-3.35555989704995,
"FRA","GGNLEND","TOT","PC_GDP","A","2006",-2.44368560794004,
"FRA","GGNLEND","TOT","PC_GDP","A","2007",-2.63629620472246,
"FRA","GGNLEND","TOT","PC_GDP","A","2008",-3.26373482970116,
"FRA","GGNLEND","TOT","PC_GDP","A","2009",-7.17477905126052,
"FRA","GGNLEND","TOT","PC_GDP","A","2010",-6.88672167290052,
"FRA","GGNLEND","TOT","PC_GDP","A","2011",-5.15476088106651,
"FRA","GGNLEND","TOT","PC_GDP","A","2012",-4.98098433361866,
"FRA","GGNLEND","TOT","PC_GDP","A","2013",-4.08409452344595,
"FRA","GGNLEND","TOT","PC_GDP","A","2014",-3.90465934648671,
"FRA","GGNLEND","TOT","PC_GDP","A","2015",-3.62517466994658,
"FRA","GGNLEND","TOT","PC_GDP","A","2016",-3.63725639835479,
"FRA","GGNLEND","TOT","PC_GDP","A","2017",-2.95841709319262,
"FRA","GGNLEND","TOT","PC_GDP","A","2018",-2.28895454080005,
"FRA","GGNLEND","TOT","PC_GDP","A","2019",-3.06465077831587,"E"
"FRA","GGNLEND","TOT","PC_GDP","A","2020",-8.92511919960397,"E"
"FRA","GGNLEND","TOT","PC_GDP","A","2021",-6.47877932820533,"E"
"DEU","GGNLEND","TOT","PC_GDP","A","1995",-9.43223143549332,
"DEU","GGNLEND","TOT","PC_GDP","A","1996",-3.57040252318646,
"DEU","GGNLEND","TOT","PC_GDP","A","1997",-2.94210029829437,
"DEU","GGNLEND","TOT","PC_GDP","A","1998",-2.56689270360699,
"DEU","GGNLEND","TOT","PC_GDP","A","1999",-1.71922038572844,
"DEU","GGNLEND","TOT","PC_GDP","A","2000",-1.58466447614848,
"DEU","GGNLEND","TOT","PC_GDP","A","2001",-3.02544487098051,
"DEU","GGNLEND","TOT","PC_GDP","A","2002",-3.87499317598675,
"DEU","GGNLEND","TOT","PC_GDP","A","2003",-3.70420108791492,
"DEU","GGNLEND","TOT","PC_GDP","A","2004",-3.33415837208069,
"DEU","GGNLEND","TOT","PC_GDP","A","2005",-3.31943661479432,
"DEU","GGNLEND","TOT","PC_GDP","A","2006",-1.65315209552719,
"DEU","GGNLEND","TOT","PC_GDP","A","2007",0.260886959652738,
"DEU","GGNLEND","TOT","PC_GDP","A","2008",-0.116356239372627,
"DEU","GGNLEND","TOT","PC_GDP","A","2009",-3.15051129928488,
"DEU","GGNLEND","TOT","PC_GDP","A","2010",-4.37864607705506,
"DEU","GGNLEND","TOT","PC_GDP","A","2011",-0.881398595167733,
"DEU","GGNLEND","TOT","PC_GDP","A","2012",0.009324994262943,
"DEU","GGNLEND","TOT","PC_GDP","A","2013",0.039980792146122,
"DEU","GGNLEND","TOT","PC_GDP","A","2014",0.579552713472226,
"DEU","GGNLEND","TOT","PC_GDP","A","2015",0.960550925589357,
"DEU","GGNLEND","TOT","PC_GDP","A","2016",1.16035141670442,
"DEU","GGNLEND","TOT","PC_GDP","A","2017",1.33608393834401,
"DEU","GGNLEND","TOT","PC_GDP","A","2018",1.91332181266442,"E"
"DEU","GGNLEND","TOT","PC_GDP","A","2019",1.47117336289173,"E"
"DEU","GGNLEND","TOT","PC_GDP","A","2020",-4.31309315943888,"E"
"DEU","GGNLEND","TOT","PC_GDP","A","2021",-3.70955184253715,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","1995",-9.73097954738537,
"GRC","GGNLEND","TOT","PC_GDP","A","1996",-8.15826266010893,
"GRC","GGNLEND","TOT","PC_GDP","A","1997",-6.05602622508187,
"GRC","GGNLEND","TOT","PC_GDP","A","1998",-6.26843356890484,
"GRC","GGNLEND","TOT","PC_GDP","A","1999",-5.79346265201213,
"GRC","GGNLEND","TOT","PC_GDP","A","2000",-4.06308720049148,
"GRC","GGNLEND","TOT","PC_GDP","A","2001",-5.46605574492258,
"GRC","GGNLEND","TOT","PC_GDP","A","2002",-6.02407559052943,
"GRC","GGNLEND","TOT","PC_GDP","A","2003",-7.83042345221338,
"GRC","GGNLEND","TOT","PC_GDP","A","2004",-8.82787977070417,
"GRC","GGNLEND","TOT","PC_GDP","A","2005",-6.18794265451324,
"GRC","GGNLEND","TOT","PC_GDP","A","2006",-5.94597758004825,
"GRC","GGNLEND","TOT","PC_GDP","A","2007",-6.70707463437705,
"GRC","GGNLEND","TOT","PC_GDP","A","2008",-10.1760239361008,
"GRC","GGNLEND","TOT","PC_GDP","A","2009",-15.1477146486663,
"GRC","GGNLEND","TOT","PC_GDP","A","2010",-11.2924079917294,"B"
"GRC","GGNLEND","TOT","PC_GDP","A","2011",-10.4668664799098,
"GRC","GGNLEND","TOT","PC_GDP","A","2012",-9.09116779419792,
"GRC","GGNLEND","TOT","PC_GDP","A","2013",-13.3507976504957,
"GRC","GGNLEND","TOT","PC_GDP","A","2014",-3.62567462479471,
"GRC","GGNLEND","TOT","PC_GDP","A","2015",-5.87348528161902,
"GRC","GGNLEND","TOT","PC_GDP","A","2016",0.24298803775982,
"GRC","GGNLEND","TOT","PC_GDP","A","2017",0.579412330875973,
"GRC","GGNLEND","TOT","PC_GDP","A","2018",0.932290918515503,
"GRC","GGNLEND","TOT","PC_GDP","A","2019",1.14815568349948,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2020",-10.1532467085967,"E"
"GRC","GGNLEND","TOT","PC_GDP","A","2021",-7.43258149470782,"E"
"HUN","GGNLEND","TOT","PC_GDP","A","1995",-8.59895145758156,
"HUN","GGNLEND","TOT","PC_GDP","A","1996",-4.37642027405454,
"HUN","GGNLEND","TOT","PC_GDP","A","1997",-5.5506877535497,
"HUN","GGNLEND","TOT","PC_GDP","A","1998",-7.42433325947077,
"HUN","GGNLEND","TOT","PC_GDP","A","1999",-5.2766279076362,
"HUN","GGNLEND","TOT","PC_GDP","A","2000",-3.04138710956697,
"HUN","GGNLEND","TOT","PC_GDP","A","2001",-3.99940254696825,
"HUN","GGNLEND","TOT","PC_GDP","A","2002",-8.79771369035393,
"HUN","GGNLEND","TOT","PC_GDP","A","2003",-7.18164823515817,
"HUN","GGNLEND","TOT","PC_GDP","A","2004",-6.58932235946504,
"HUN","GGNLEND","TOT","PC_GDP","A","2005",-7.77708348285355,
"HUN","GGNLEND","TOT","PC_GDP","A","2006",-9.25691875249893,
"HUN","GGNLEND","TOT","PC_GDP","A","2007",-5.08152462438151,
"HUN","GGNLEND","TOT","PC_GDP","A","2008",-3.78141460097503,
"HUN","GGNLEND","TOT","PC_GDP","A","2009",-4.74814130303511,
"HUN","GGNLEND","TOT","PC_GDP","A","2010",-4.42504485903087,
"HUN","GGNLEND","TOT","PC_GDP","A","2011",-5.20927605732607,
"HUN","GGNLEND","TOT","PC_GDP","A","2012",-2.32358584062217,
"HUN","GGNLEND","TOT","PC_GDP","A","2013",-2.59655900859683,
"HUN","GGNLEND","TOT","PC_GDP","A","2014",-2.77395224110578,
"HUN","GGNLEND","TOT","PC_GDP","A","2015",-2.0034189543922,
